CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1478,525,61,0ms,0,0,19,0/1/1/10,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.83ms,0.46ms,0.00ms,15.92ms,1(DR72,0.21,0.15(W0.25),1.00,17.28/20.01,19.21,1,1.23,0,0,-2208913976.936,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,68,0ms,0,0,7,0/1/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.83ms,0.76ms,0.00ms,14.57ms,1(DR72,0.21,0.05(W0.10),1.00,17.18/19.90,19.13,1,1.23,0,0,-2208913975.936,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,66,0ms,0,0,11,0/1/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.84ms,0.63ms,0.00ms,14.85ms,1(DR72,0.21,0.11(W0.17),1.00,17.25/20.39,19.32,1,1.23,0,0,-2208913974.936,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,73,0ms,0,0,1,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.84ms,3.67ms,0.00ms,13.10ms,1(DR72,0.20,0.08(W0.14),1.00,17.49/20.58,19.40,1,1.23,0,0,-2208913973.936,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,61,0ms,0,0,16,0/0/1/16,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.83ms,0.44ms,0.00ms,15.25ms,1(DR72,0.20,0.15(W0.22),1.00,17.50/20.40,19.34,1,1.23,0,0,-2208913972.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,66,0ms,0,0,11,1/1/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.83ms,0.61ms,0.00ms,14.97ms,1(DR72,0.21,0.17(W0.22),1.00,17.40/20.27,19.28,1,1.23,0,0,-2208913971.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,71,0ms,0,0,5,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.83ms,0.73ms,0.00ms,14.08ms,1(DR72,0.21,0.05(W0.10),1.00,17.31/20.20,19.20,1,1.23,0,0,-2208913970.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,71,0ms,0,0,5,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.84ms,0.76ms,0.00ms,14.08ms,1(DR72,0.20,0.08(W0.14),1.00,17.25/20.02,19.16,1,1.23,0,0,-2208913969.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,66,0ms,0,0,9,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.83ms,0.68ms,0.00ms,15.01ms,1(DR72,0.20,0.10(W0.10),1.00,17.28/20.13,19.19,1,1.23,0,0,-2208913968.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,62,0ms,0,0,16,0/2/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.83ms,0.77ms,0.00ms,15.77ms,1(DR72,0.20,0.07(W0.10),1.00,17.35/20.15,19.23,1,1.23,0,0,-2208913967.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,64,0ms,0,0,16,0/2/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.84ms,0.75ms,0.00ms,15.34ms,1(DR72,0.20,0.13(W0.19),1.00,17.22/20.03,19.20,1,1.23,0,0,-2208913966.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,67,0ms,0,0,9,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.85ms,0.62ms,0.00ms,14.89ms,1(DR72,0.21,0.11(W0.18),1.00,17.25/20.28,19.21,1,1.23,0,0,-2208913965.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.82ms,0.76ms,0.00ms,13.90ms,1(DR72,0.21,0.14(W0.19),1.00,17.24/19.98,19.21,1,1.23,0,0,-2208913964.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8111,0,23.0C/0.0C,1.84ms,0.70ms,0.00ms,13.89ms,1(DR72,0.20,0.18(W0.22),1.00,17.33/20.16,19.37,1,1.23,0,0,-2208913963.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.84ms,0.88ms,0.00ms,13.90ms,1(DR72,0.20,0.18(W0.19),1.00,17.33/20.06,19.26,1,1.23,0,0,-2208913962.928,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,59,0ms,0,0,21,0/2/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.83ms,0.37ms,0.00ms,16.28ms,1(DR72,0.21,0.03(W0.05),1.00,17.34/20.43,19.44,1,1.23,0,0,-2208913961.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,65,0ms,0,0,13,1/1/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.84ms,0.56ms,0.00ms,15.13ms,1(DR72,0.20,0.13(W0.19),1.00,17.51/20.63,19.45,1,1.23,0,0,-2208913960.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,64,0ms,0,0,14,0/0/1/13,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.83ms,0.56ms,0.00ms,15.18ms,1(DR72,0.21,0.09(W0.17),1.00,17.43/20.33,19.34,1,1.23,0,0,-2208913959.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.85ms,0.84ms,0.00ms,13.28ms,1(DR72,0.21,0.10(W0.14),1.00,17.46/20.36,19.34,1,1.23,0,0,-2208913958.935,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.83ms,0.71ms,0.00ms,13.12ms,1(DR72,0.20,0.05(W0.10),1.00,17.50/20.44,19.39,1,1.23,0,0,-2208913957.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,64,0ms,0,0,14,0/1/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.83ms,0.51ms,0.00ms,15.22ms,1(DR72,0.20,0.12(W0.18),1.00,17.45/20.34,19.38,1,1.23,0,0,-2208913956.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,70,0ms,0,0,7,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.83ms,1.87ms,0.00ms,13.90ms,1(DR72,0.19,0.11(W0.19),1.00,17.40/20.13,19.33,1,1.23,0,0,-2208913955.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,64,0ms,0,0,15,1/0/1/10,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.84ms,2.14ms,0.00ms,15.21ms,1(DR72,0.19,0.16(W0.18),1.00,17.21/20.29,19.24,1,1.23,0,0,-2208913954.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,62,0ms,0,0,17,0/0/1/16,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.44ms,0.29ms,0.00ms,15.66ms,1(DR72,0.18,0.14(W0.18),1.00,17.30/20.35,19.25,1,1.23,0,0,-2208913953.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.44ms,0.76ms,0.00ms,13.29ms,1(DR72,0.18,0.20(W0.22),1.00,17.32/20.19,19.19,1,1.23,0,0,-2208913952.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.51ms,0.88ms,0.00ms,13.10ms,1(DR72,0.19,0.08(W0.14),1.00,17.27/20.56,19.17,1,1.23,0,0,-2208913951.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,70,0ms,0,0,2,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.44ms,0.62ms,0.00ms,13.54ms,1(DR72,0.18,0.08(W0.10),1.00,17.33/20.31,19.22,1,1.23,0,0,-2208913950.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,69,0ms,0,0,6,0/1/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.43ms,0.68ms,0.00ms,13.90ms,1(DR72,0.17,0.07(W0.11),1.00,17.39/20.28,19.35,1,1.23,0,0,-2208913949.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,65,0ms,0,0,11,0/1/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.43ms,0.68ms,0.00ms,15.19ms,1(DR72,0.17,0.03(W0.05),1.00,17.32/20.01,19.20,1,1.23,0,0,-2208913948.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,71,0ms,0,0,5,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.43ms,1.02ms,0.00ms,14.09ms,1(DR72,0.16,0.05(W0.11),1.00,17.21/19.96,19.12,1,1.23,0,0,-2208913947.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,67,0ms,0,0,10,0/1/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.43ms,0.57ms,0.00ms,14.74ms,1(DR72,0.17,0.12(W0.14),1.00,17.14/19.99,19.07,1,1.23,0,0,-2208913946.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.46ms,0.82ms,0.00ms,13.90ms,1(DR72,0.17,0.17(W0.22),1.00,17.10/19.91,18.98,1,1.23,0,0,-2208913945.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,66,0ms,0,0,11,0/0/1/10,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.44ms,0.54ms,0.00ms,15.03ms,1(DR72,0.17,0.11(W0.14),1.00,17.18/20.03,19.08,1,1.23,0,0,-2208913944.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,8102,0,23.0C/0.0C,1.49ms,0.68ms,0.00ms,13.90ms,1(DR72,0.17,0.15(W0.26),1.00,17.12/19.80,18.98,1,1.23,0,0,-2208913943.934,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,68,0ms,0,0,8,0/1/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,23.0C/0.0C,1.44ms,0.68ms,0.00ms,14.52ms,1(DR72,0.18,0.08(W0.14),1.00,17.09/20.16,19.15,1,1.23,0,0,-2208913942.927,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,23.0C/0.0C,1.43ms,0.75ms,0.00ms,13.23ms,1(DR72,0.18,0.19(W0.24),1.00,17.30/20.14,19.19,1,1.23,0,0,-2208913941.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.52ms,0.78ms,0.00ms,13.11ms,1(DR72,0.18,0.08(W0.10),1.00,17.30/20.14,19.18,1,1.23,0,0,-2208913940.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,67,0ms,0,0,10,0/1/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.43ms,0.88ms,0.00ms,14.34ms,1(DR72,0.16,0.09(W0.18),1.00,17.37/20.17,19.23,1,1.23,0,0,-2208913939.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,64,0ms,0,0,17,1/2/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.44ms,0.57ms,0.00ms,15.45ms,1(DR72,0.18,0.18(W0.22),1.00,16.93/22.86,21.73,1,1.23,0,0,-2208913938.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.48ms,0.79ms,0.00ms,13.19ms,1(DR72,0.18,0.16(W0.23),1.00,18.22/22.68,21.08,1,1.23,0,0,-2208913937.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.44ms,0.76ms,0.00ms,13.10ms,1(DR72,0.18,0.12(W0.22),1.00,17.96/21.41,20.22,1,1.23,0,0,-2208913936.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.62ms,0.79ms,0.00ms,13.10ms,1(DR72,0.20,0.19(W0.22),1.00,17.69/20.82,19.69,1,1.23,0,0,-2208913935.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.43ms,0.65ms,0.00ms,13.10ms,1(DR72,0.17,0.14(W0.19),1.00,17.56/20.29,19.46,1,1.23,0,0,-2208913934.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,65,0ms,0,0,11,0/0/1/10,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.44ms,0.57ms,0.00ms,14.98ms,1(DR72,0.18,0.10(W0.15),1.00,17.42/20.54,19.37,1,1.23,0,0,-2208913933.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.69ms,0.75ms,0.00ms,13.90ms,1(DR72,0.19,0.05(W0.10),1.00,17.24/20.14,19.15,1,1.23,0,0,-2208913932.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.70ms,0.70ms,0.00ms,13.90ms,1(DR72,0.19,0.10(W0.14),1.00,17.39/20.17,19.23,1,1.23,0,0,-2208913931.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,67,0ms,0,0,9,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.43ms,0.53ms,0.00ms,14.83ms,1(DR72,0.17,0.09(W0.11),1.00,17.37/20.06,19.28,1,1.23,0,0,-2208913930.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,69,0ms,0,0,15,2/0/1/11,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.43ms,0.72ms,0.00ms,14.48ms,1(DR72,0.16,0.07(W0.10),1.00,17.25/23.02,22.04,1,1.23,0,0,-2208913929.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,67,0ms,0,0,9,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.44ms,0.60ms,0.00ms,14.76ms,1(DR72,0.17,0.05(W0.11),1.00,18.20/22.63,21.16,1,1.23,0,0,-2208913928.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.57ms,0.72ms,0.00ms,13.91ms,1(DR72,0.19,0.02(W0.05),1.00,17.97/21.67,20.09,1,1.23,0,0,-2208913927.933,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.65ms,1.16ms,0.00ms,13.90ms,1(DR72,0.18,0.09(W0.22),1.00,17.63/20.72,19.56,1,1.23,0,0,-2208913926.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,66,0ms,0,0,14,0/2/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.43ms,0.56ms,0.00ms,14.80ms,1(DR72,0.17,0.08(W0.10),1.00,17.49/20.68,19.60,1,1.23,0,0,-2208913925.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,67,0ms,0,0,8,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.44ms,0.68ms,0.00ms,14.75ms,1(DR72,0.18,0.14(W0.22),1.00,17.67/20.81,19.64,1,1.23,0,0,-2208913924.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8110,0,22.7C/0.0C,1.49ms,1.23ms,0.00ms,13.28ms,1(DR72,0.17,0.12(W0.18),1.00,17.50/20.28,19.33,1,1.23,0,0,-2208913923.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,68,0ms,0,0,8,0/1/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.7C/0.0C,1.45ms,0.65ms,0.00ms,14.43ms,1(DR72,0.18,0.10(W0.15),1.00,17.35/20.39,19.40,1,1.23,0,0,-2208913922.926,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8114,0,22.7C/0.0C,1.52ms,0.65ms,0.00ms,13.90ms,1(DR72,0.18,0.19(W0.26),1.00,17.54/20.47,19.39,1,1.23,0,0,-2208913921.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,69,0ms,0,0,4,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.45ms,0.67ms,0.00ms,14.79ms,1(DR72,0.18,0.13(W0.15),1.00,17.46/20.23,19.28,1,1.23,0,0,-2208913920.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,71,0ms,0,0,6,0/1/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.43ms,0.64ms,0.00ms,13.90ms,1(DR72,0.17,0.31(W0.37),1.00,17.26/20.05,19.22,1,1.23,0,0,-2208913919.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,68,0ms,0,0,8,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.44ms,0.65ms,0.00ms,14.32ms,1(DR72,0.17,0.14(W0.18),1.00,17.31/20.48,19.28,1,1.23,0,0,-2208913918.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.63ms,0.74ms,0.00ms,13.89ms,1(DR72,0.19,0.10(W0.14),1.00,17.29/20.21,19.25,1,1.23,0,0,-2208913917.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.68ms,0.66ms,0.00ms,13.90ms,1(DR72,0.19,0.14(W0.18),1.00,17.48/20.51,19.37,1,1.23,0,0,-2208913916.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.52ms,0.76ms,0.00ms,13.90ms,1(DR72,0.18,0.21(W0.28),1.00,17.43/20.33,19.33,1,1.23,0,0,-2208913915.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.68ms,0.74ms,0.00ms,13.18ms,1(DR72,0.19,0.11(W0.15),1.00,17.49/20.16,19.35,1,1.23,0,0,-2208913914.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,65,0ms,0,0,13,1/0/1/10,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.43ms,0.55ms,0.00ms,15.03ms,1(DR72,0.17,0.11(W0.14),1.00,17.40/20.13,19.31,1,1.23,0,0,-2208913913.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.43ms,0.69ms,0.00ms,13.90ms,1(DR72,0.17,0.07(W0.11),1.00,17.21/20.06,19.21,1,1.23,0,0,-2208913912.932,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,67,0ms,0,0,3,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.43ms,0.60ms,0.00ms,14.74ms,1(DR72,0.17,0.08(W0.18),1.00,17.22/20.01,19.11,1,1.23,0,0,-2208913911.931,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,66,0ms,0,0,13,1/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.43ms,0.57ms,0.00ms,14.87ms,1(DR72,0.17,0.05(W0.10),1.00,17.25/20.14,19.12,1,1.23,0,0,-2208913910.931,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,71,0ms,0,0,4,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.57ms,0.62ms,0.00ms,13.90ms,1(DR72,0.17,0.07(W0.14),1.00,17.22/20.20,19.19,1,1.23,0,0,-2208913909.931,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,68,0ms,0,0,9,0/1/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.44ms,0.65ms,0.00ms,14.56ms,1(DR72,0.18,0.10(W0.14),1.00,17.23/19.82,19.10,1,1.23,0,0,-2208913908.931,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.71ms,0.76ms,0.00ms,13.89ms,1(DR72,0.19,0.07(W0.10),1.00,17.13/20.24,19.26,1,1.23,0,0,-2208913907.931,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
3,4,1382,525,66,0ms,0,0,10,0/1/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8114,0,22.5C/0.0C,1.43ms,0.51ms,0.00ms,15.03ms,1(DR72,0.17,0.16(W0.19),1.00,17.42/20.23,19.32,1,1.23,0,0,-2208913906.931,True,False,100,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,ow_light0.2
